"","Swap.3M.5Y.spread","dUSDHUF","OIS.3M.spread","FED.funds.rate","TED.spread","ON.deposit.rate","US.AAA.10Y.spread","HUF.3Y.overquote","HUF.5Y.overquote","HUF.3Y.HUF.5Y.overquote","Assets.lt.f.debt","Swap.tender.DUMMY","FX.tender.DUMMY","Swap.3M.spread.EURHUF","Swap.3M.spread.HUFEUR","Swap.3M.spread","HUN.5Y.USD.CDS","EMBI","FX.tender"
"1/1/2008",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1/1/2009",0.238039331564198,-0.232112600270616,-1.13145920057464,-2.47096698045659,0.699080021370888,1.49979951247079,-0.650459276466658,0,0,0,-0.925718213192977,-0.100101511665448,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,-0.00499650990521944,-4.58851763837987e-07
"1/1/2015",-0.380156372803503,-0.0977911961384276,-0.864928519477276,0.519479891039858,-0.182700141365335,-0.996249782190716,-0.743228880995744,0,0,0,1.12443587334472,-2.36926340838893,-0.0175138590321441,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,-0.108966056221423,-1.77620835891583
"1/10/2008",NA,-1.69647959870666,0.844689191290187,1.0262494287577,0.829097527081174,0.751160985572888,-0.685949583106599,0,0,0,-1.04729793827522,-0.148696891629991,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,-1.09439270709553,0
"1/10/2011",-0.507976471329726,0.269027328518433,-0.757087319562608,-0.925119198339111,-1.24971123114117,-0.862145678602829,-0.494107328997415,0,0,0,-0.248535510449067,-0.151954326164616,-0.0500002096927449,-0.113741485198425,-0.0544665864892274,-0.118346685840304,0,0.458774758035337,-0.305795805199292
"1/10/2012",0.959505036257821,-1.25923691207018,-0.927790520925928,-1.16569481818667,0.536712899143671,-0.918423097169938,-0.00155465487274746,0,0,0,-0.7367766855975,-0.121769245353122,-0.0500002096927449,0.10181810317678,-0.0544665864892274,0.109070516406798,0,-0.190478231546101,-0.249495881539982
"1/10/2013",-0.696201120964314,-0.284873714926747,-0.921577212386184,-0.534088145024748,-0.141866282480767,-1.39902628979194,0.0684384569318858,0,0,0,-0.193826209014758,-0.174678646404094,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,-0.562176174082952,-8.11130520023501e-07
"1/10/2014",0.635330552914414,-1.36359926868416,-0.882690062835923,-0.981986391803743,-0.414769402095207,-0.368479234687172,-0.568362821794969,0,0,0,0.111123268748327,-0.155650284854009,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,0.84048683657726,-0.0174933975816841
"1/10/2017",0.23214890496956,0.771678818423797,0.515635361051365,-0.50615993093388,1.76469728622862,0.236630111027543,0.530467511364378,0,0,0,1.10231121080517,-0.119546465407764,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,0.0654475390318734,-8.70084337513148e-05
"1/10/2018",-0.188898779707947,-0.237716799722988,1.03299878087562,0.741158106891093,0.899650391387832,0.990927199223195,1.15453556947346,0,0,0,0.983814463822697,0.946857749896978,-0.0500002096927449,-0.0972875274454775,-4.97876421529468,-0.671056337117469,0,0.620004694069231,0.842134547642522
