"","Swap.3M.5Y.spread","dUSDHUF","dEURHUF","OIS.3M.spread","EUR.3M.REPO","Eurozone.AAA","Volume.AAA.bond","HUF.3Y.overquote","HUF.5Y.overquote","HUF.3Y.HUF.5Y.overquote","Assets.lt.f.debt","ECB.DEPOSIT","TED.spread","Deviza.tender.DUMMY","Swap.3M.spread.EURHUF","Swap.3M.spread.HUFEUR","Swap.3M.spread","EMBI","HUN.5Y.USD.CDS","Swap.tender","FX.tender"
"6/5/2018",0.625773669093791,-0.304192013836901,-0.0233081592878978,-0.785824968900976,-1.12543000886993,0.62761958138428,-0.0317468516065528,0,0,0,0.724719102706726,-0.116994596238417,0.212528022869437,-0.0475368984398583,-0.0971681749240416,-0.482016058619776,-0.0853403800554301,0.63087289707574,0,-0.425227514293403,-0.39683246548357
"6/6/2008",0.432349706785251,1.07224816278898,4.76751385817664,0.330201207795945,1.07994889903069,-0.944906429697908,-0.135081275970792,0,0,0,-0.992118534799353,-0.116995114426626,0.877289160286771,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,1.26471309864737,0,0,0
"6/6/2011",-0.982163227323059,0.941381443139942,1.28953129200134,1.07815378555321,0.0901250687021464,0.614509920105623,-0.142421626315341,0,0,0,-0.808323053594618,-0.116995114409736,-0.562325129183261,-0.0475368984398583,-0.139343512738632,-0.0546645353148123,-0.129656493395509,-0.0244899688730401,0,-0.234816597739331,-0.24446361332039
"6/6/2012",-1.20236696653027,-2.1287904976563,-1.42786763854944,-0.114436049077519,-1.13527615394443,-2.73903059847498,0.336893498133015,0,0,0,0.310415949689588,-0.11699507602386,-0.309498737385132,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-1.80671282616531,0,-7.86991619451021e-55,-1.95541242126696e-58
"6/6/2013",-0.131516546188211,-1.57080341144714,-0.132434620535849,-0.455566915484439,-1.09623719311319,-1.17051390014623,-0.118909063419869,0,0,0,0.313191364576121,-0.11699511365394,-0.955303497540679,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,0.74520547254071,0,-1.27284797625537e-108,-1.06564216746828e-115
"6/6/2014",1.82471017146944,-0.0979365830123064,-0.393585703504304,0.207856590954755,0.0870532604337771,0.684291169155271,-0.132982038352291,0,0,0,0.899467892442159,-0.116995114426626,-0.947123693102988,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-1.51475936854156,0,-4.98234817234208e-26,-9.8351611145697e-28
"6/6/2016",-0.057575160671203,-0.534338814083693,-1.4297815065501,-1.1028872615631,-1.27391931423974,-0.475033930607253,-0.148416257197351,0,0,0,0.133067527408065,-0.116995114426626,-0.14810603435882,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-0.904377124366734,0,-1.24394973722776e-104,-1.88186912012793e-111
"6/6/2017",0.0598898930737657,0.0485498912662613,1.06949722115963,-0.943348969383256,-1.1656411757783,0.591095336066726,0.767119822657764,0,0,0,-0.0211546146334483,-0.116995095027053,-0.392555588663635,-0.0475368984398583,-0.0971681749240416,-0.369670372751206,-0.0919314367528839,0.313925789825913,0,-0.356893014566244,-0.328918873214624
"6/6/2018",-0.906481283847798,-1.09149951622084,-0.9211815843437,-1.02152056568259,-1.01984198584539,-1.55952831908807,-0.159173745806579,0,0,0,1.03138437259091,-0.116995085697809,-0.288542795565089,-0.0475368984398583,-0.0971681749240416,3.98367527401383,0.771321404701697,-0.341960502325457,0,1.28925066683378,1.27083563269245
"6/7/2010",-1.09879199352969,-0.211244618684101,-0.569464343530766,-0.254198712692393,-0.892914021403716,-0.944906429697908,-0.135081275970792,0,0,0,-0.270748050382725,-0.116995114262709,0.0213342434409006,-0.0475368984398583,-0.116581603668795,-0.0546645353148123,-0.119267888607139,-0.169401039159379,0,-0.392997790139355,-0.384965162424722
"6/7/2011",0.104468778288082,-1.0360852646183,-0.827846146091529,1.2293575665101,-0.0628416293637149,-1.87183564880729,-0.138179942028936,0,0,0,-0.802995651761117,-0.11699511442569,-1.69447838512554,-0.0475368984398583,-0.0200772100417953,-0.0546645353148123,-0.0219451009428902,-0.242890472469907,0,-0.292014633285362,-0.288475575846199
"6/7/2012",0.243443459229368,-0.776344351030285,-1.41149769325522,-1.60342676362087,-0.922236258636263,-1.09067399701571,0.110757099988818,0,0,0,0.0645298867123302,-0.116995112297555,0.212605767533067,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-0.112608996002889,0,-7.98253189737314e-56,-1.70894757449526e-59
"6/7/2013",0.889618553566213,-0.316557662892506,-0.497579992603672,-1.29293064760502,-0.680989840797685,-0.529662068480895,-0.0547168723114836,0,0,0,0.0854595539314476,-0.116995114383788,-1.07414052302714,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-1.28110549655427,0,-1.2800792743226e-109,-9.23924431329457e-117
"6/7/2016",1.02780721861985,-0.244997675832129,-0.5929112173781,-0.768063939738531,-0.694782220331741,1.29273038892213,-0.135233557777791,0,0,0,-0.2644846300181,-0.116995114426626,0.917628367165217,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-0.284859149881806,0,-1.25117352417243e-105,-1.63196358925392e-112
"6/7/2017",-0.378649140365588,0.493951537167287,0.510532068682472,-1.04655367142574,-1.12698417054542,-0.195742193446166,0.0450863767204635,0,0,0,0.0476789698659504,-0.116995113351103,-1.46925263344856,-0.0475368984398583,-0.0971681749240416,-5.50620570265385,-0.738037864353812,-0.15085423115645,0,1.08495610766876,1.05581614550751
"6/7/2018",-0.105690921753619,0.0169247333641552,0.726445522238805,-0.998507767930935,-0.514531582821048,-0.388516901798513,0.0469590938471883,0,0,0,1.11103544339914,-0.116995112833884,0.660340043051463,-0.0475368984398583,-0.0971681749240416,0.260421428718379,-0.0820784359437382,0.874440365773414,0,-0.2812956406022,-0.295035840075423
"6/8/2009",-0.596472096555846,-0.233184191131907,-0.928084474270495,1.77665942849389,0.196926782433667,-0.944906429697908,-0.135081275970792,0,0,0,-0.00985491052068618,-0.116995114426626,1.48665599607921,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,0.426377234729325,0,-0.218998424479749,-0.222794684782694
