"","TED.spread","HUF.3Y.overquote","HUF.5Y.overquote","HUF.3Y.HUF.5Y.overquote","Swap.3M.spread","Swap.3M.5Y.spread","CHFHUF","CHF.ON","HUF.ON","CHFHUF.3M","HUN.5Y.USD.CDS","CHF.3M.Libor","CHF.ON.Libor","EMBI","FX.tender","CHF.OIS.3M","Swap.tender"
"1/1/2008",NA,0,0,0,NA,NA,-0.536713551205936,-1.84266541145348,-2.0629291093861,NA,NA,NA,NA,NA,NA,NA,NA
"1/1/2009",NA,0,0,0,NA,NA,-0.22134430283318,-0.164816303638295,0.166556136435192,NA,NA,NA,NA,NA,NA,NA,NA
"1/1/2010",NA,0,0,0,NA,NA,0.413383167314052,-0.23081943364514,0.0255279262546476,NA,NA,NA,NA,NA,NA,NA,NA
"1/1/2013",NA,0,0,0,NA,NA,0.429498184410775,0.085118630305574,-1.56601445453079,-3.47303028656653,NA,NA,NA,NA,NA,NA,NA
"1/1/2014",NA,0,0,0,NA,NA,0.00421887660484705,0.81260346123507,0.460364929412916,-7.75156291425973,NA,NA,NA,NA,NA,NA,NA
"1/1/2015",NA,0,0,0,NA,NA,-0.375540759956275,0.100306405544259,-0.337059299988441,0.172517323664916,NA,NA,NA,NA,NA,NA,NA
"1/1/2016",NA,0,0,0,NA,NA,0.912070484496504,-0.087198420937524,-2.83468372904475,-8.71193364202508,NA,NA,NA,NA,NA,NA,NA
"1/1/2018",NA,0,0,0,NA,NA,0.669359444041443,-0.421015906697651,-0.825449263779604,-0.372052491639398,NA,NA,NA,NA,NA,NA,NA
"1/10/2008",NA,0,0,0,NA,NA,-0.434527406579643,-0.511279025833602,0.0355221915738682,NA,NA,NA,NA,NA,NA,NA,NA
"1/10/2011",-0.359182060156558,-0.268028140318502,0.274181698363542,0.108392473140493,-0.0304108149530493,-0.217203216967415,1.24109360635294,-0.334543637285069,-5.76703613974503,-0.390973257895159,0,-0.263317227643435,1.12967987762904,1.18369027652109,-0.141710164889728,0.170290211462932,-0.100781852239845
"1/10/2012",1.13671846800895,-0.245240952083623,-0.170746234400807,-0.0212198259462566,0.24740917097517,-0.283996583962706,-0.274739964029669,0.256023156143543,-0.124641959386924,2.30948859229253,0,0.708454372288828,-0.169977217634412,-1.4160141805676,-0.219689547849452,-1.39381291506728,-0.181759434264421
"1/10/2013",-0.0185742605474095,-0.307353742076511,-0.617800462000616,-0.658941822038034,-0.106081087433361,-0.346115609129447,-0.352533276132357,-0.00126588928875171,-0.211033333052706,-0.23068241862172,0,-0.58964627748179,0.21693249162708,-1.40439641436961,6.48572400638699e-297,-0.221730163844425,-4.55688081481684e-303
"1/10/2014",-1.19692561041025,-0.307807098781084,-0.480213313346753,-0.510750310459241,-0.106081087433361,0.337117188755434,-0.574182398601708,3.22127119472578,0.945082566684054,0.0681420911989956,0,0.182246884245319,-0.0124459953109234,-0.674454044806887,2.98008401024312e-18,-0.132279168355889,1.86120497600201e-18
"1/10/2017",1.21801039996089,-0.294694707005378,-0.23800958166496,-0.228700711704123,-0.106081087433361,0.337875722007251,0.582465064869277,-0.190149011240373,-0.0320386275477563,0.292397586214129,0,-1.53473314268898,0.275324730542851,-1.28896231843088,-0.353128224266186,-0.00805165884369542,-0.457394946196462
"1/10/2018",-0.871164247380834,0.0839645515914676,-0.313162437503458,-0.354923287560329,-0.106081087433361,0.831416850537367,0.769194762831159,-0.420956717310748,-1.31464922468173,-0.0140976024715553,0,-0.0770278791366063,0.605060330396354,0.243003950967642,1.33511625067622,0.00667867193879876,1.3783115047058
"1/11/2008",NA,0,0,0,NA,NA,-0.0279253465399925,-0.951180297354603,0.105993284346225,NA,NA,NA,NA,NA,NA,NA,NA
"1/11/2010",NA,0,0,0,NA,NA,-0.273376759462826,0.218618536034336,0.287449882029984,NA,NA,NA,NA,NA,NA,NA,NA
"1/11/2011",-0.983072550760395,-0.30075747063409,-0.076556390517658,-0.238326465506556,-0.0107003761537373,-1.50037386631157,1.27099341823052,-0.0943985114257394,0.3971646501119,0.41115891426481,0,-0.272583560831705,0.287064292730307,0.520657089700124,-0.219689547849452,-0.106936933532608,-0.181759434264421
"1/11/2012",1.66308011652231,0.21884224692948,-0.414094730460203,-0.316348491337788,6.34193714145311,-4.36841908151919,1.47288576624473,-0.561020091843394,-1.12800576613887,4.80076911203193,0,0.0226570737009351,-0.00968339674108148,0.738448078612184,1.33511625067625,-0.00778713306400434,1.37831150470584
"1/11/2013",-0.717356997313642,-0.306979099429149,-0.580487603269907,-0.605292908073471,-0.106081087433361,-0.730822819097575,2.18352175232491,0.154983762109322,-0.486635323070247,1.15573546303692,0,0.573437721145491,-1.398930647594,0.304589657859789,1.72745895649368e-295,0.2437563132631,-2.0163704969701e-289
"1/11/2016",0.743609515958071,-0.303858398064451,-0.328804704167204,-0.408743233796772,-0.106081087433361,1.22765907916365,0.631131481090969,0.544691388213521,-0.0861148225754315,0.140492713543324,0,-0.598329145717427,-0.167273885147255,-1.26164708336924,0,0.514488995506894,0
"1/11/2017",0.962052077795374,-0.27237831989714,0.0226509004221394,0.00421000773999165,-0.106081087433361,1.08820220442719,0.223785257678624,-0.10949989417763,-0.0824778723868843,-0.559401300881613,0,-0.704557317811361,-0.236697506082842,1.4531227600068,-2.8212268652818,0.0181963537111762,-3.14647891977364
